"","UMAP1","UMAP2","gene","module","color","hub","kME"
"PDHB",0.737363349501687,-2.0501559981294,"PDHB","Module1","#f4c40f","other",0.433866015975242
"HIST1H1E",-12.2110398301439,2.06235039148852,"HIST1H1E","Module3","#d8443c","other",0.102088340178487
"ARF4",4.31259508043965,2.2503594151549,"ARF4","Module9","#1f6e9c","other",0.280099838944595
"TAP1",-0.388703156407279,-3.14278495397047,"TAP1","Module11","#92c051","other",0.543245598715644
"RHOH",3.15858478457172,1.62525236521288,"RHOH","Module2","#fe9b00","other",0.255032612337296
"CDC40",4.01446123034199,-1.3448554285951,"CDC40","Module2","#fe9b00","other",0.141879904183058
"STIP1",3.44637007624348,-6.60224044408277,"STIP1","Module5","#de597c","other",0.54010047531764
"STAT3",3.40281171709736,-1.39816925014929,"STAT3","Module2","#fe9b00","other",0.196319304599369
"NDUFS5",6.03820199877461,-1.78934377517179,"NDUFS5","Module2","#fe9b00","hub",0.803454759001745
"IL7R",0.103261094395715,-7.00069987859205,"IL7R","Module8","#633372","other",0.0666408290035347
"TMEM208",4.48697109133442,-1.80741936053709,"TMEM208","Module2","#fe9b00","other",0.218732228970584
"DNAJC21",-11.8267081269578,-1.1800400772281,"DNAJC21","Module3","#d8443c","other",0.028742980713829
"TSPAN5",-0.422476101811332,-1.2907854625173,"TSPAN5","Module1","#f4c40f","other",0.0917149536291894
"RNF181",4.11522645861347,1.58247101221606,"RNF181","Module2","#fe9b00","other",0.361299615345063
"VAMP5",1.06706113726338,2.33533489618822,"VAMP5","Module9","#1f6e9c","other",0.358029346755816
"MAT2A",5.21109313875874,-5.01812160100416,"MAT2A","Module5","#de597c","other",0.376468472568311
"LETM1",-0.0482874700383367,-3.04817473973707,"LETM1","Module11","#92c051","other",0.112802639086676
"COMMD8",0.880269300047952,0.166920541863883,"COMMD8","Module1","#f4c40f","other",0.551813799338911
"ATP5I",3.89344854265888,6.18564903650805,"ATP5I","Module4","#9b3441","other",0.369163713700386
"UQCRFS1",6.55738801867207,-1.59006106938795,"UQCRFS1","Module2","#fe9b00","other",0.470925756665227
"CD2BP2",1.13582701594074,-1.76396024312452,"CD2BP2","Module1","#f4c40f","other",0.373805468028202
"RAB24",0.548324119155007,5.14792597208544,"RAB24","Module10","#2b9b81","other",0.12335679153838
